Name,Location,City,P.O Box,Phone,Mobile,Company page link,Logo url
Miyabi Sushi & Bento,"Next to Four Points by Sheraton, Behind UAE Exchange, Sh Zayed Road","Dubai, UAE",391073,+97143868444,+971502563842,https://www.yellowpages-uae.com/miyabi-sushi-bento-153749.html,https://media.yellowpages-uae.com/wfile/webplogo/300762.webp
101 Parathas,"Near Grand Hotel, Abu Shagara","Sharjah, UAE",N/A,+97165538106,+97165538136,https://www.yellowpages-uae.com/101-parathas-175272.html,N/A
18 Buffet,Al Garhoud,"Dubai, UAE",N/A,+97142999115,N/A,https://www.yellowpages-uae.com/18-buffet-147330.html,N/A
18 Degree,"Hyatt Capital Gate, Al Arabi Street","Abu Dhabi, UAE",N/A,+97125961440,N/A,https://www.yellowpages-uae.com/18-degree-175665.html,N/A
24h.ae Online Food Delivery Services,Al Barsha,"Dubai, UAE",357347,+97144572307,N/A,https://www.yellowpages-uae.com/24h-ae-online-food-delivery-services-148551.html,N/A
4 Guys,N/A,"Dubai, UAE",N/A,+97144357377,N/A,https://www.yellowpages-uae.com/4-guys-147691.html,N/A
55 & 5th Restaurant,Saadiyat Island,"Abu Dhabi, UAE",N/A,+97124988008,N/A,https://www.yellowpages-uae.com/55-5th-restaurant-175732.html,N/A
77 Veggie Boutique,"Boutique 11, Tiffany Tower, JLT","Dubai, UAE",644817,+97144224116,N/A,https://www.yellowpages-uae.com/77-veggie-boutique-152094.html,N/A
800 Pizza,N/A,"Dubai, UAE",N/A,+9710074992,N/A,https://www.yellowpages-uae.com/800-pizza-175280.html,N/A
Aangan Restaurant,"Dhow Palace Hotel, Bur Dubai","Dubai, UAE",N/A,+97143599992,N/A,https://www.yellowpages-uae.com/aangan-restaurant-175630.html,N/A
Abdul Aziz Restaurant,Sanaiya,"Al Ain, UAE",16935,+97137211335,N/A,https://www.yellowpages-uae.com/abdul-aziz-restaurant-131916.html,N/A
